Date,PLAYER_NAME,Team,Opp,Fantasy_Team,Free_Agent,Injury_Status,Pred_MIN,Pred_FP,L3_FP_per_Min,Opp_DefRtg,Schedule_Rest,Long_Absence_Flag
2026-04-09,Joel Embiid,PHI,HOU,Free Agent,True,ACTIVE,34.12,45.57,1.37,108.06,3,0
2026-04-09,Stephen Curry,GSW,LAL,Free Agent,True,ACTIVE,29.17,39.88,1.05,114.49,-3,0
2026-04-09,Paul George,PHI,HOU,Free Agent,True,ACTIVE,33.16,36.62,0.87,108.06,-3,0
2026-04-09,Jalen Brunson,NYK,BOS,Free Agent,True,ACTIVE,34.97,36.39,1.26,111.33,-1,0
2026-04-09,Lachlan Olbrich,CHI,WAS,Free Agent,True,ACTIVE,26.72,35.81,0.82,120.41,-3,0
2026-04-09,Collin Sexton,CHI,WAS,Free Agent,True,ACTIVE,28.75,35.23,1.08,120.41,-3,0
2026-04-09,Leonard Miller,CHI,WAS,Free Agent,True,ACTIVE,31.08,35.23,1.16,120.41,-3,0
2026-04-09,Julian Reese,WAS,CHI,Free Agent,True,ACTIVE,32.77,34.41,0.88,115.23,-3,0
2026-04-09,Jamir Watkins,WAS,CHI,Free Agent,True,ACTIVE,28.74,34.24,0.64,115.23,-3,0
2026-04-09,Mikal Bridges,NYK,BOS,Free Agent,True,ACTIVE,37.74,33.07,0.95,111.33,-3,0
2026-04-09,Patrick Williams,CHI,WAS,Free Agent,True,ACTIVE,28.93,31.49,0.82,120.41,-3,0
2026-04-09,Quentin Grimes,PHI,HOU,Free Agent,True,ACTIVE,24.85,30.58,0.56,108.06,-3,0
2026-04-09,Anthony Gill,WAS,CHI,Free Agent,True,ACTIVE,33.69,30.48,0.67,115.23,-3,0
2026-04-09,Bub Carrington,WAS,CHI,Free Agent,True,ACTIVE,29.08,30.34,1.17,115.23,-3,0
2026-04-09,Sharife Cooper,WAS,CHI,Free Agent,True,ACTIVE,23.48,29.69,1.58,115.23,-3,0
2026-04-09,Mohamed Diawara,NYK,BOS,Free Agent,True,ACTIVE,19.87,29.41,0.78,111.33,-3,0
2026-04-09,Ethan Thompson,IND,BKN,Free Agent,True,ACTIVE,30.5,29.13,0.82,115.41,-3,0
2026-04-09,De'Anthony Melton,GSW,LAL,Free Agent,True,ACTIVE,24.35,29.1,1.08,114.49,-3,0
2026-04-09,Ron Harper Jr.,BOS,NYK,Free Agent,True,ACTIVE,20.94,28.87,1.09,111.16,-3,0
2026-04-09,Baylor Scheierman,BOS,NYK,Free Agent,True,ACTIVE,26.25,28.69,0.8,111.16,-3,0
2026-04-09,Bilal Coulibaly,WAS,CHI,Free Agent,True,DAY_TO_DAY,26.74,28.65,1.23,115.23,-1,0
2026-04-09,Josh Hart,NYK,BOS,Free Agent,True,ACTIVE,32.14,28.08,0.87,111.33,-1,0
2026-04-09,Rob Dillingham,CHI,WAS,Free Agent,True,ACTIVE,26.77,28.06,0.64,120.41,-3,0
2026-04-09,Justin Champagnie,WAS,CHI,Free Agent,True,DAY_TO_DAY,23.74,27.7,1.1,115.23,-3,0
2026-04-09,Davion Mitchell,MIA,TOR,Free Agent,True,ACTIVE,30.33,27.21,0.95,110.91,-3,0
2026-04-09,Collin Murray-Boyles,TOR,MIA,Free Agent,True,ACTIVE,21.31,26.73,1.66,109.96,-3,0
2026-04-09,Bronny James,LAL,GSW,Free Agent,True,ACTIVE,20.47,26.21,0.45,109.08,-3,0
2026-04-09,Tre Johnson,WAS,CHI,Free Agent,True,DAY_TO_DAY,23.54,26.17,0.63,115.23,4,0
2026-04-09,Quenton Jackson,IND,BKN,Free Agent,True,ACTIVE,25.5,26.13,1.03,115.41,-3,0
2026-04-09,Jalen Slawson,IND,BKN,Free Agent,True,ACTIVE,23.38,26.04,0.76,115.41,-3,0
2026-04-09,Mitchell Robinson,NYK,BOS,Free Agent,True,ACTIVE,20.99,26.0,1.84,111.33,0,0
2026-04-09,Draymond Green,GSW,LAL,Free Agent,True,ACTIVE,23.12,25.95,1.04,114.49,-1,0
2026-04-09,Chaney Johnson,BKN,IND,Free Agent,True,ACTIVE,20.34,25.55,1.27,113.46,-3,0
2026-04-09,JD Davison,HOU,PHI,Free Agent,True,ACTIVE,14.38,25.53,0.84,112.06,-3,0
2026-04-09,Luka Garza,BOS,NYK,Free Agent,True,ACTIVE,20.65,25.13,1.55,111.16,-3,0
2026-04-09,Clint Capela,HOU,PHI,Free Agent,True,ACTIVE,16.0,25.12,0.81,112.06,-3,0
2026-04-09,E.J. Liddell,BKN,IND,Free Agent,True,ACTIVE,26.86,25.12,1.0,113.46,-3,0
